,model_0,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,model_12,model_13,model_14,model_15,model_16,model_17,model_18,model_19
0,5.431243100726308,5.653116856719407,5.217852590095506,5.373506843396574,5.261164975577732,5.606671006802912,5.043233389089467,5.262493600881006,5.149328207391719,5.066689053486078,5.323903271019499,5.3919930142378645,5.44018085987868,5.3381833005020045,5.804924548404484,5.558635864618669,5.438318644742706,5.772143218449122,5.501273891418287,5.633634584184128
1,5.516551986495533,5.543645393435609,5.615558200765671,5.42539824343799,5.28007046357741,5.315587423196355,5.2783804463463335,5.262685721593728,5.442616561875871,5.216188023997075,5.1342359424226816,5.454308984156977,4.954788565888892,5.097800990772894,5.3829460404493705,5.512994651508592,5.234783514196746,5.10454726356767,5.3576772691430445,5.454640785338981
2,7.672997394819959,7.633831422587194,7.721033572327777,7.380925057260837,7.847100211417927,7.653347791156037,7.148202620342374,7.364204141800589,7.483775952929193,7.445689461094826,7.668409676634556,7.67375181597082,7.521298461955619,7.454902903627277,7.561330040243101,7.6607985559645275,7.768818015035307,7.881738136011604,7.529729210472621,7.562426125450543
3,5.718784594532389,6.13998855000777,5.959523218413381,5.899686309449638,5.714397255458735,5.793606067609227,5.529325862557999,5.83153094987266,5.631266111769575,6.147479599152772,5.967572286273615,5.770508136552389,5.991511825639435,5.746030578774896,5.72526151522958,5.620993476166742,5.562602447146524,6.094183439843194,5.507275835654289,5.945401798680571
4,5.306372518569372,5.654778335502076,5.508225408183648,5.329128180135852,5.6076392061686775,5.564615443864991,5.443509706533855,5.362882268852659,5.824867862138843,5.379994804284536,5.324420358210666,5.653892229735558,5.62031969684718,5.624408430926251,5.14436533714953,5.360851065452776,5.542515816593986,5.536475150014941,5.648112053104253,5.56124211835019
5,5.723251854059098,5.483922385946887,5.77373502259641,5.695976999808087,5.7902594626973,5.7086141868565115,5.632076730407588,5.454588793675466,5.4708767556304885,5.609570873942813,5.824921187650225,5.65258143899165,5.529676120610564,5.5241630779032525,5.486317556602192,5.5463023480588,5.850553322211873,5.585422834344385,5.44751452919506,5.125955676335151
6,3.0254292131293736,3.2788818142189617,3.157915445704824,2.8669366773777893,2.9815199502989924,3.033726130025531,2.9427145717195162,2.9137079751630575,3.381851919246789,3.15195952667005,3.2384995529035865,3.140898314875482,2.700660953328215,3.223153388665395,3.1862741682542275,2.9749464756617003,3.062680241492708,3.174969452048644,3.184271495397698,3.207144110013244
7,4.572270948898843,4.570892240461431,4.785779219208955,4.479327202939954,4.649156910872934,4.452215067949798,4.353948914124627,4.097393981537242,4.335045258613589,4.3538473640603605,4.574992747962758,4.640427708436732,4.340358266876359,4.5800236608580445,4.031254487406783,4.424591363319777,4.640795570713861,4.475326850838535,4.398397353481753,4.6078148987790115
8,5.759973802099053,5.887919950808355,6.122262783192813,5.638033916378891,5.613434913949304,6.066934110326136,5.74004339036325,5.789454066283723,5.917317442892664,5.699639666482366,5.837230739446868,5.858556337313604,5.898076654103747,5.878245178776403,5.808496330330554,5.80410011732884,6.028267545093855,5.735133954186114,5.864908565824461,5.7850419382428075
9,5.729807598765574,5.530188384994965,5.784029227376765,5.492896312034112,5.7342181712746285,5.302916578955551,5.09535574495562,6.264781319202642,5.703103579548037,5.291509320986629,5.546002146244417,5.315560933161722,5.4196137882878155,5.361163335532053,5.439808653167358,5.269953421145859,5.639387872936104,5.672240310110791,5.409272743253741,5.323825682844655
