,model_0,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,model_12,model_13,model_14,model_15,model_16,model_17,model_18,model_19
0,3.5572260376969522,3.165476413965155,3.2443633284774567,3.053705919812797,3.5256917866028843,3.593941719323217,3.1359730670958137,3.5638834494005227,3.812040778791178,3.233032141335667,3.6850034203394673,3.763324021322428,3.568673959298626,3.275780480846774,2.984741117257582,3.622513416860655,3.535817290306743,3.611512317365226,3.830427970896264,3.783116661455617
1,3.4507707542013804,3.1295046471444152,3.6462139779611786,3.68995827164137,3.7337463203709107,3.7641942382082947,3.709703988778088,3.585285722897345,3.289398040120582,3.4722423231223,4.036275187522979,3.4948437283479974,3.549070729450113,3.9466878814582236,3.154268053041525,4.113301743505504,4.248619763669865,3.3301584822375023,3.138845729925354,3.3537171501704615
2,2.8825392985688834,2.8915847758890987,2.8768953610083123,3.0704794437253833,2.92558806998598,3.0094052238106705,2.866874961128131,3.088263737312037,2.7483377481827214,2.8870799881784377,2.8544680643634592,3.0900229270201827,3.160414218972227,2.96240053939714,2.7857770840423495,2.82553676031888,3.056800861478557,3.0701707632858417,3.014279332893841,2.7017122386256283
3,5.431243100726308,5.653117106719408,5.217852590095506,5.373506843396574,5.261164975577732,5.606670656802913,5.043233139089468,5.262493450881006,5.149327707391718,5.066688703486078,5.323903121019499,5.391992514237865,5.44018050987868,5.3381833005020045,5.804924048404485,5.558635864618669,5.438318644742706,5.772143368449122,5.501274391418287,5.633634584184128
4,2.8294495038254084,2.8026553285362565,2.8015689275665006,2.87570370408688,3.443838524812967,3.0602770807678388,2.9381148619768798,2.94503140523426,3.3382830607834584,3.1705630846101904,2.9518578325740883,3.0771657350347668,3.407149019923995,2.9220047573483434,3.1007347376338044,2.9566133347035013,2.784223620150113,2.736958798883534,3.180696688965185,3.013667089612957
5,5.106945195264889,6.0478735001778485,5.524274295673255,5.651273046868459,5.80947629164989,6.183466674612939,5.7632296077305565,5.456460953518119,5.90695818353243,5.71938463679069,5.762944820939149,5.41260691394503,5.878689164911807,5.5521181443559335,6.046901725977872,5.840001237337971,5.773383630325357,5.671157930594838,5.9411237039195015,5.995657762535066
6,3.4741543684593235,3.2220443509445102,3.3600012401173225,3.3368930985643797,3.61330142006212,3.2070325823918813,3.0846571300102754,3.457481239846566,3.016103197761238,3.605311727037324,3.4386733166083117,3.2020175711248613,3.6272582712575074,3.408047215206643,2.9852492858170647,3.2680132039487084,3.247286073203982,3.3158365314644778,3.2381733211274213,3.149986310007335
7,3.749834214799896,3.7541567214128255,3.541795882988467,3.5022616624913407,3.5748892848608,3.521144439189911,3.6069032622891766,3.3898802400221104,3.730345643647473,3.42174293339675,3.506846100132993,3.526341836423934,3.666277795998096,3.6182386351456826,3.5248443127125597,3.4447386250122536,3.766748725983386,3.4807584483010476,3.6336274190265963,3.787021726407154
8,3.0254287631293737,3.2788818142189617,3.1579153457048244,2.866936577377789,2.9815199502989924,3.033726130025531,2.942714721719516,2.9137079751630575,3.3818518192467897,3.15195942667005,3.238499702903587,3.140898464875482,2.700661153328215,3.223153388665395,3.1862741682542275,2.9749463756617005,3.062680091492708,3.174969552048644,3.184271595397698,3.2071442600132443
9,3.9065521836287607,3.83875161159634,4.111028274926156,3.758656301201505,4.056752298188323,4.12081814260989,3.857999988470098,3.9878973538448634,4.040513849325366,3.9756220036762047,4.06234284205642,4.062454971575427,4.33972960080166,3.830418680229446,3.4700230932491376,3.911835549364471,3.8901352255049355,4.18435363788495,3.674214757000122,3.9563574841471087
10,2.312260642730285,2.360221575655003,2.364316387958419,2.27742676363207,2.049574798910206,2.340200869796616,2.4124215709549475,2.503366728653673,2.3726081007793036,2.438971471566634,2.278162284313182,2.5948271218481023,2.495922322057483,2.499538743899505,2.503188347473106,2.40361392754431,2.7400630337322767,2.3484860670865624,2.477007029962113,2.140173387912665
